Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   Egz    
Mamertas            Stankevicius        2      6      10     6      2      6      9      9      2      8      1      
Klemensas           Sakalauskas         1      7      10     4      2      5      7      4      9      1      9      
Vainius             Paulauskas          9      6      2      10     7      6      5      1      3      9      6      
Florijonas          Paulauskas          10     10     2      10     8      9      8      7      9      8      2      
Virginijus          Butkus              8      2      7      8      9      7      10     8      3      8      2      
Romanas             Kavaliauskas        3      2      10     3      6      4      4      5      8      6      5      
Simonas             Kazlaukas           8      4      3      9      9      4      7      5      3      1      8      
Mikolajus           Petrauskas          3      4      3      10     6      2      8      1      8      6      2      
Olegas              Paulauskas          9      4      5      5      2      3      6      8      7      7      2      
Ralfas              Paulauskas          4      2      5      3      8      1      2      3      3      9      10     
Henris              Baranauskas         5      10     3      5      1      2      1      1      3      3      9      
Zenius              Pocius              8      4      9      5      8      9      4      2      9      10     10     
Gavrila             Butkus              1      4      1      7      10     3      3      10     5      9      5      
Edgaras             Baranauskas         9      10     1      6      2      9      5      8      4      1      2      
Vaigaudas           Kateiva             1      2      8      9      8      10     5      10     9      2      8      
Adamas              Sakalauskas         6      8      1      1      3      8      8      3      2      7      6      
Gedas               zukauskas           6      5      10     6      3      4      6      1      4      1      4      
Utenis              Urbonas             4      1      2      5      6      10     9      10     8      7      8      
Marijonas           Kateiva             7      5      2      2      5      3      2      7      1      5      10     
Mingaudas           Jankauskas          4      2      3      9      1      1      8      7      6      9      6      
Zigmas              Jankauskas          5      6      3      10     2      6      1      2      5      3      8      
Edvinas             Kazlaukas           10     1      2      8      5      9      1      6      10     7      5      
Rubenas             Baranauskas         6      2      8      8      1      9      9      2      7      4      1      
Stasius             Urbonas             7      8      3      5      5      8      7      4      9      9      2      
Gerimantas          Stankevicius        9      3      5      9      3      3      6      4      5      3      1      
Ivanas              Urbonas             9      2      9      10     9      4      3      1      6      4      10     
Dalius              Urbonas             7      5      5      8      3      6      5      10     5      1      6      
Nikiforas           zukauskas           9      10     7      5      8      6      5      9      2      5      3      
Napalis             Petrauskas          8      5      2      9      10     5      6      4      2      4      10     
Donaldas            Sakalauskas         2      10     4      7      7      6      8      7      10     3      2      
Vaitiekus           Urbonas             5      2      6      4      8      4      4      5      7      2      8      
Aurelijus           Stankevicius        4      2      8      10     10     5      7      10     10     1      1      
Ilja                Sakalauskas         9      1      8      5      9      5      3      10     6      2      10     
Kleopas             Kazlaukas           10     10     10     1      3      10     3      8      1      9      2      
Isaakas             Kateiva             4      4      9      9      1      3      7      5      7      1      9      
Jokimas             Petrauskas          4      9      3      1      7      9      3      6      5      8      3      
Gailimantas         Butkus              3      2      8      1      9      10     2      1      8      1      7      
Geraldas            Kazlaukas           10     8      1      10     10     5      2      7      1      7      2      
Jolantas            Vasiliauskas        10     7      9      3      6      3      7      7      1      1      1      
Jomantas            Petrauskas          10     2      8      8      3      2      1      5      1      7      4      
Ksistofas           Butkus              10     9      1      6      1      1      5      5      1      6      4      
Aidas               zukauskas           10     6      5      2      5      10     5      2      4      10     8      
Isaakas             Petrauskas          7      9      9      10     2      3      10     9      3      4      6      
Viltaras            Sakalauskas         1      7      3      3      8      1      9      2      8      8      6      
Vaidis              Butkus              3      5      1      5      4      10     1      4      5      7      8      
Feliksas            Kateiva             8      10     4      8      4      10     2      9      9      4      3      
Vitas               Paulauskas          7      2      4      9      6      4      10     9      4      8      1      
Osvaldas            Kavaliauskas        5      4      8      7      7      3      3      5      10     8      9      
Normanas            Kateiva             7      8      3      1      1      5      8      6      8      3      4      
Oktavijus           zukauskas           7      10     1      7      3      8      10     4      1      1      2      
Tedas               Sakalauskas         3      5      4      3      3      2      7      10     8      10     5      
Semionas            Kazlaukas           6      2      5      4      3      4      1      9      1      9      3      
Rimvydas            Sakalauskas         4      10     9      7      4      5      2      2      6      6      7      
Audronius           Baranauskas         5      7      4      3      7      8      10     8      9      5      9      
Stepas              Paulauskas          6      5      7      8      10     6      2      9      2      8      7      
Norvydas            Kateiva             8      6      1      9      1      6      7      5      2      2      8      
Skalmantas          Stankevicius        6      4      7      1      6      8      7      9      5      6      10     
Laisvis             Sakalauskas         1      8      1      8      1      8      7      4      3      1      7      
Viltenis            Baranauskas         5      9      3      3      2      3      9      6      8      10     1      
Liudvikas           zukauskas           10     8      3      1      5      3      3      4      10     8      3      
Nilas               zukauskas           6      5      10     1      5      6      7      3      6      5      6      
Naglis              Vasiliauskas        10     10     2      8      10     2      3      7      9      3      1      
Michailas           Butkus              8      8      5      10     3      3      1      1      3      5      7      
Kasparas            Baranauskas         5      1      5      8      9      7      4      5      8      10     5      
Brunas              Kazlaukas           10     2      9      10     5      9      3      4      10     7      4      
Vytenis             zukauskas           9      1      2      3      8      8      6      2      3      5      10     
Saulenis            Kateiva             10     8      8      6      7      1      9      2      7      3      10     
Geivydas            Sakalauskas         8      9      6      1      5      5      4      5      7      4      5      
Diomidas            Jankauskas          3      7      9      7      9      3      10     4      3      9      2      
Drasius             Kateiva             4      8      10     1      2      2      9      1      2      10     5      
Vilmas              zukauskas           8      5      4      10     6      6      8      6      9      9      6      
Makarijus           Pocius              2      6      3      6      7      2      1      5      1      6      6      
Libertas            Jankauskas          9      5      4      3      1      8      7      5      5      8      3      
zydrunas            Jankauskas          9      8      1      9      2      1      10     9      8      6      10     
Astijus             Paulauskas          3      6      8      5      3      2      7      1      2      4      8      
Livijus             Kavaliauskas        8      3      4      7      10     1      2      2      2      10     6      
Klementas           Urbonas             5      8      1      2      2      5      9      7      7      10     2      
Benas               Stankevicius        4      10     4      4      8      8      2      8      8      3      2      
Akvilinas           Urbonas             8      10     1      10     3      4      4      10     2      8      7      
zybartas            Kazlaukas           4      7      9      9      5      6      7      5      10     7      7      
Gvidas              Pocius              3      1      4      5      8      8      1      2      5      8      1      
Deimantas           Pocius              10     3      9      9      5      1      1      6      4      9      9      
Laisvis             Pocius              4      1      8      1      5      7      3      3      6      8      6      
Davidas             Butkus              1      3      3      5      3      3      6      10     1      10     10     
Albertas            Kateiva             7      8      4      6      7      7      7      2      5      5      10     
Denisas             Baranauskas         2      9      9      5      3      5      3      2      2      1      7      
Klaudijus           Petrauskas          9      9      5      5      1      3      3      8      2      10     5      
Vytenis             Kateiva             1      8      9      6      7      10     5      5      8      7      6      
Nikola              Stankevicius        10     1      10     2      3      10     7      10     2      3      3      
Vismantas           Baranauskas         10     2      8      2      1      1      3      3      3      8      4      
Laisvis             Petrauskas          9      5      10     4      6      5      6      1      2      3      8      
Klevas              Paulauskas          2      9      2      6      10     3      7      1      7      6      10     
Eldaras             Vasiliauskas        4      3      1      3      3      10     7      1      1      3      3      
Haroldas            Kateiva             10     2      9      10     1      10     3      1      1      5      10     
Vytas               Stankevicius        8      5      9      1      10     3      5      4      6      2      6      
Neivydas            Pocius              7      2      2      5      4      9      10     8      10     3      10     
Nauris              Kazlaukas           7      2      3      2      2      6      1      9      1      8      5      
Laimutis            Petrauskas          10     1      6      1      6      2      2      5      2      10     2      
Vidas               Urbonas             2      6      1      3      4      1      4      6      3      9      6      
Nilas               Petrauskas          8      1      7      8      4      5      1      10     7      10     8      
Vilius              Kazlaukas           4      10     5      2      7      3      2      5      4      9      9      
Virmantas           Vasiliauskas        10     1      1      2      5      2      2      4      8      4      3      
Kazys               zukauskas           1      4      1      2      5      9      6      10     4      9      10     
Anatolis            Urbonas             1      7      6      2      4      7      7      2      1      10     3      
Paulis              Kazlaukas           9      4      9      7      2      5      8      10     7      9      3      
Polis               Kavaliauskas        5      9      2      10     4      9      1      6      6      10     1      
Edvardas            Baranauskas         10     9      9      3      1      9      3      7      7      1      2      
Skalmantas          zukauskas           7      4      6      2      8      5      7      6      8      3      1      
Titas               Kazlaukas           8      3      10     2      1      4      8      2      3      5      9      
Kleopas             Sakalauskas         9      7      1      4      5      6      3      4      2      6      6      
Gendrius            Vasiliauskas        5      8      4      6      4      8      6      8      2      5      2      
Aurelijus           Jankauskas          5      4      1      5      1      4      4      8      6      3      9      
Teodoras            Petrauskas          5      1      9      6      6      9      4      9      4      8      5      
Adas                Sakalauskas         3      1      8      7      3      2      3      1      3      8      9      
Germanas            Sakalauskas         6      7      2      1      8      7      8      7      5      6      3      
Samuelis            Paulauskas          6      3      7      8      3      8      2      1      10     9      2      
Anzelmas            Petrauskas          9      10     2      3      4      4      3      9      4      1      4      
Achilas             Urbonas             8      7      10     4      3      3      2      7      6      5      3      
Vaidotas            Petrauskas          9      3      4      7      6      4      4      1      9      1      3      
Aristidas           Baranauskas         6      8      8      6      8      7      5      1      9      4      8      
Ricardas            Petrauskas          6      3      7      2      1      9      1      5      6      4      9      
Sidas               zukauskas           2      4      6      5      6      9      3      5      4      1      3      
Jevgenijus          Butkus              2      1      10     4      6      6      4      9      3      4      4      
Livijus             Sakalauskas         7      1      9      9      3      7      3      4      8      1      1      
Vaizgantas          Baranauskas         3      7      5      8      2      10     4      2      6      2      7      
Genrichas           Kateiva             9      9      6      5      3      7      9      4      1      7      1      
Jokimas             Kavaliauskas        3      7      6      5      2      10     9      1      1      8      3      
Gaudenis            Kazlaukas           7      3      9      10     3      4      8      10     3      1      7      
Leandras            Jankauskas          6      1      10     5      2      4      4      10     7      8      1      
Marianas            Vasiliauskas        5      7      2      6      8      4      7      6      10     3      10     
Juozapatas          Butkus              1      5      4      1      7      8      4      5      3      5      1      
Steponas            Butkus              7      10     5      10     1      7      4      8      10     5      2      
Alfredas            Kateiva             7      6      2      6      8      10     8      3      9      8      5      
Renatas             zukauskas           8      2      10     2      7      1      2      4      5      6      6      
Margiris            Kavaliauskas        1      2      3      1      2      2      7      10     2      2      1      
Jevgenijus          zukauskas           6      6      7      3      9      8      5      3      7      3      5      
azuolas             Jankauskas          7      1      2      9      8      3      1      5      10     2      9      
Eduardas            Urbonas             6      2      5      3      8      9      1      10     9      7      4      
Olegas              Kateiva             10     4      7      7      7      8      5      1      6      2      8      
Klemensas           Paulauskas          9      4      6      2      6      7      8      4      6      2      2      
Bartvydas           Jankauskas          10     5      6      9      5      6      7      9      1      3      9      
Edvardas            Baranauskas         1      3      8      5      4      4      8      5      3      9      3      
Natas               Urbonas             2      6      3      9      7      3      7      4      7      1      7      
Jolantas            Petrauskas          6      2      7      3      10     5      3      1      8      5      7      
Tautrimas           Baranauskas         3      6      7      6      10     1      6      7      9      2      6      
Matas               Vasiliauskas        5      8      1      3      6      5      5      4      6      3      7      
Gedvaldas           Butkus              2      6      2      5      5      6      4      9      2      8      5      
Kornelijus          Paulauskas          5      5      10     9      1      4      2      7      7      3      9      
Agnius              Kazlaukas           2      3      2      7      7      10     9      3      9      9      1      
Oktavijus           Butkus              1      5      7      10     6      5      10     9      9      4      2      
Martynas            Sakalauskas         7      5      5      2      5      2      4      1      8      7      5      
Gabrielius          Sakalauskas         7      5      8      5      2      8      3      2      8      10     6      
Vainoras            Kavaliauskas        3      6      7      1      1      10     3      6      8      1      4      
Valentinas          Kavaliauskas        7      2      6      1      5      8      1      9      5      2      5      
Vladimiras          Kavaliauskas        5      9      1      9      10     6      9      10     7      5      9      
Dzeraldas           Baranauskas         9      3      4      10     2      4      3      1      9      6      9      
Erazmas             Kavaliauskas        7      2      9      10     4      5      8      10     2      4      5      
Almantas            Kazlaukas           1      3      8      8      7      4      9      4      2      8      6      
Lukrecijus          Kazlaukas           2      8      4      3      1      1      10     9      10     3      2      
Ernestas            Kavaliauskas        2      8      3      9      7      2      9      2      6      4      4      
Ksistofas           Baranauskas         6      7      4      9      2      5      1      6      4      5      5      
Gedminas            Kavaliauskas        1      3      3      8      2      4      3      4      2      7      2      
Bronius             Paulauskas          7      6      9      1      1      9      6      4      8      5      9      
Jevgenijus          Vasiliauskas        6      1      8      3      8      6      3      8      5      9      8      
Olegas              Paulauskas          8      5      3      3      5      1      6      2      10     3      4      
Gabrielis           Stankevicius        6      9      7      4      8      8      1      4      4      8      4      
Alvidas             Kateiva             6      10     3      10     10     9      10     3      4      7      2      
Vaigaudas           Vasiliauskas        8      1      6      7      7      6      9      2      10     5      6      
Boleslovas          Sakalauskas         10     7      9      8      1      6      6      2      2      1      5      
Denisas             Jankauskas          4      3      1      9      2      4      6      2      2      5      10     
Jokubas             Petrauskas          7      8      2      2      1      5      9      2      8      9      10     
Vitalius            Pocius              7      10     7      7      10     3      1      8      9      6      6      
Kaributas           Urbonas             7      8      5      7      1      2      10     8      5      1      10     
zibartas            Paulauskas          4      2      6      9      6      8      1      5      2      8      1      
Tomasas             Paulauskas          9      5      4      6      9      2      2      3      6      1      7      
Juozapatas          Kateiva             7      9      6      7      10     1      2      3      1      1      2      
Raulis              Urbonas             2      1      2      2      4      6      3      10     1      10     3      
Narsutis            Stankevicius        6      8      8      1      7      7      5      10     4      7      7      
Redas               Jankauskas          4      2      4      3      7      7      10     1      1      6      9      
Ubaldas             Kazlaukas           2      9      2      2      8      4      1      2      1      9      2      
Levas               Stankevicius        5      7      6      1      8      9      5      8      7      2      6      
Tautginas           Kavaliauskas        5      1      5      1      8      5      3      7      5      9      9      
Liudvigas           Urbonas             4      7      10     6      4      8      7      6      4      10     3      
Girvydas            Stankevicius        3      4      4      4      6      6      8      8      6      8      9      
Virgius             Urbonas             9      5      3      8      9      7      3      8      2      7      10     
Kristinas           Kateiva             10     1      8      7      1      8      4      7      1      9      8      
Augustas            Sakalauskas         2      4      1      7      8      4      5      3      8      6      9      
Palmyras            Butkus              5      9      10     2      8      9      1      10     4      4      10     
Orestas             zukauskas           6      4      4      8      8      6      10     3      2      7      2      
Inocentas           Kavaliauskas        10     1      7      5      8      2      3      2      1      6      4      
Vigilijus           Vasiliauskas        9      1      5      5      6      3      3      1      4      6      4      
Sigitas             Jankauskas          4      8      9      4      4      4      6      8      2      3      1      
Liucijonas          Urbonas             8      2      5      2      6      5      8      3      5      5      5      
Vejunas             Butkus              10     10     8      6      4      2      10     5      5      9      1      
Rinatas             Petrauskas          7      2      5      6      4      8      3      9      8      10     6      
Domantas            zukauskas           6      9      5      8      5      5      2      4      2      10     7      
Stepas              Urbonas             5      5      7      3      7      3      3      10     9      3      5      
Mantvydas           Pocius              6      2      6      1      10     8      4      3      10     2      3      
Viltaras            Petrauskas          8      2      8      2      5      4      10     1      1      1      9      
Redas               Kateiva             9      9      10     2      9      2      10     10     6      6      8      
Faustas             Paulauskas          4      4      4      8      8      8      10     6      5      7      4      
Morkus              Kavaliauskas        6      1      6      6      7      3      1      8      3      6      10     
Indrius             Pocius              3      6      9      8      10     8      4      3      5      7      1      
Nauris              Butkus              1      6      10     1      9      10     4      2      3      9      8      
Livijus             zukauskas           4      3      2      3      6      4      2      1      6      6      9      
Aidas               Kazlaukas           7      2      3      10     1      3      7      5      8      6      8      
Kristinas           Kavaliauskas        4      5      6      1      4      7      9      7      3      2      7      
Marijus             Pocius              5      9      9      2      3      5      6      8      7      8      4      
Jovaras             Urbonas             6      7      5      2      4      4      5      10     3      8      5      
Vadimas             Petrauskas          6      3      4      2      4      10     5      10     7      10     5      
Irmantas            Urbonas             7      6      3      1      10     1      5      1      9      10     6      
Kimas               Butkus              9      1      2      7      7      4      3      10     9      3      3      
Nazaras             Urbonas             1      1      3      2      5      8      5      6      5      7      2      
Tamosius            Vasiliauskas        7      8      5      10     3      1      8      3      10     9      10     
Gytautas            Urbonas             4      5      4      1      1      10     7      8      3      2      4      
Achilas             Kateiva             3      4      9      2      1      8      5      3      3      7      10     
Josifas             Kazlaukas           3      2      6      7      1      8      5      8      7      2      9      
Markas              Baranauskas         2      8      3      10     5      4      6      2      6      8      4      
Vaidutis            Sakalauskas         2      5      4      3      3      8      7      2      5      4      1      
Rutenis             Vasiliauskas        1      7      1      2      8      3      2      5      8      3      5      
Darius              Baranauskas         2      10     10     2      6      9      3      10     7      1      6      
Rupertas            Paulauskas          2      10     1      1      3      6      9      5      4      5      5      
Mikas               Pocius              3      5      4      5      10     7      6      10     9      3      7      
Jogintas            Baranauskas         1      1      7      9      1      6      5      10     10     7      8      
Steponas            Kavaliauskas        4      10     9      10     3      5      1      6      10     7      9      
Vladislovas         Kavaliauskas        5      1      6      8      6      5      9      9      9      10     10     
Krescencijus        Kavaliauskas        9      3      9      4      6      8      9      7      10     5      6      
Lionginas           Kateiva             6      4      3      1      9      8      6      6      2      7      8      
Aleksas             Kavaliauskas        6      6      6      3      9      5      5      5      5      3      2      
Dziugas             Kazlaukas           8      10     1      1      1      1      10     1      9      2      3      
Vladas              Stankevicius        7      2      1      4      8      10     10     10     3      1      7      
zvaigzdzius         Petrauskas          7      9      8      2      7      9      9      6      8      4      2      
Nikodemas           Butkus              2      2      9      9      5      1      7      9      9      9      3      
Sigizmundas         Baranauskas         6      6      2      4      7      7      1      2      8      2      4      
Vykintas            Urbonas             3      10     10     6      8      7      1      8      2      6      8      
Gedminas            Baranauskas         5      5      5      3      8      10     3      10     5      5      5      
Marius              Jankauskas          7      2      10     8      5      6      2      7      6      2      10     
Gedvaldas           Pocius              5      2      7      7      10     6      10     3      8      7      4      
Boleslavas          zukauskas           10     9      9      5      9      4      5      3      2      9      5      
Vladislovas         Paulauskas          9      1      5      6      5      4      5      4      2      4      10     
Liutauras           Sakalauskas         6      6      4      1      7      8      3      10     1      10     9      
Sakalas             zukauskas           7      6      10     6      7      2      1      3      4      2      9      
Maksimilijonas      Pocius              2      6      7      8      5      1      1      3      5      1      4      
Anisimas            Paulauskas          10     9      4      9      1      6      1      1      3      8      8      
Anzelmas            Paulauskas          8      10     9      7      7      2      3      3      1      6      8      
Danius              Petrauskas          3      5      7      5      2      9      8      9      3      9      2      
Sergejus            Jankauskas          4      9      4      10     4      4      8      3      7      7      9      
zvaigzdzius         Kavaliauskas        7      2      5      9      10     3      5      4      4      7      1      
Jegoras             Kateiva             6      3      5      4      10     2      8      1      10     4      1      
Neringas            Kazlaukas           3      7      8      7      2      9      5      10     7      9      8      
Horstas             Kazlaukas           8      7      2      9      9      10     3      3      6      9      2      
zanas               Kavaliauskas        3      10     3      10     10     2      9      3      8      5      9      
Vacys               Kazlaukas           9      3      6      2      7      8      1      5      10     10     4      
Utenis              Vasiliauskas        3      7      2      6      10     5      3      3      5      2      5      
Lauras              Kavaliauskas        5      3      7      1      9      4      1      4      6      5      1      
Ausrius             Kavaliauskas        6      1      1      2      8      10     7      7      3      6      9      
Gustis              Sakalauskas         10     7      3      7      10     9      9      2      10     2      1      
Danius              Kateiva             5      9      10     3      4      10     10     4      9      10     6      
Kastantas           Kavaliauskas        4      3      8      7      6      3      6      2      3      8      2      
Vilhelmas           Kavaliauskas        6      6      3      2      8      10     10     1      5      9      6      
Janas               Urbonas             5      2      6      9      3      1      3      9      9      7      3      
Sakalas             Baranauskas         5      3      1      6      2      7      1      5      5      5      7      
Bronislovas         Stankevicius        3      6      10     1      1      8      7      9      2      7      3      
Terentijus          zukauskas           4      2      2      5      2      5      5      9      5      3      3      
Ubaldas             Stankevicius        8      8      9      6      6      10     4      1      9      3      5      
Medas               Urbonas             6      1      1      1      6      4      2      4      9      8      8      
Liucijonas          Jankauskas          1      2      7      6      9      5      1      7      1      7      10     
Gasparas            Urbonas             8      5      1      8      6      3      3      3      9      2      9      
Klaudas             Jankauskas          5      3      8      6      1      8      5      5      5      9      7      
Aristidas           Stankevicius        10     10     10     10     9      1      6      5      3      2      8      
Galmantas           Baranauskas         8      5      6      1      5      6      10     5      10     5      7      
Sakalas             Butkus              4      2      3      10     1      5      10     8      10     10     4      
Lauras              Stankevicius        9      4      3      7      3      6      9      1      3      4      2      
Jeronimas           Jankauskas          10     3      7      7      9      9      7      10     10     5      9      
Nojus               Baranauskas         10     1      9      1      1      4      5      5      10     4      3      
Otonas              zukauskas           4      4      1      6      10     4      7      8      3      2      2      
Arminas             Petrauskas          10     2      5      7      8      9      4      4      7      9      3      
Gytautas            Urbonas             3      8      7      5      2      6      6      3      7      2      2      
Adolfas             Butkus              8      3      3      3      6      4      10     3      6      6      9      
Nikola              Petrauskas          5      10     4      7      5      8      10     3      5      3      7      
Merunas             Baranauskas         1      10     10     8      9      3      3      6      7      7      6      
Augustas            Kazlaukas           1      7      9      9      1      5      5      4      10     9      1      
Milvydas            Sakalauskas         4      7      6      6      6      1      9      3      3      7      7      
Voicechas           Jankauskas          4      6      10     10     6      9      8      5      8      4      6      
Zakarijus           Kavaliauskas        7      10     8      8      9      1      3      8      10     10     9      
Rytautas            Paulauskas          5      8      6      4      7      9      1      10     6      5      8      
Rodrigas            Petrauskas          8      5      4      5      10     3      6      7      10     5      10     
Merkys              Kavaliauskas        10     7      5      6      3      2      3      7      4      6      7      
Voicechas           Pocius              8      5      8      10     7      9      3      10     10     7      5      
Melchioras          Kavaliauskas        4      3      6      8      5      1      9      7      8      10     5      
Aristidas           Vasiliauskas        4      8      8      7      6      1      6      5      7      3      7      
Arturas             Paulauskas          3      5      1      4      5      8      2      5      7      5      5      
Reinhardas          Butkus              9      1      4      9      9      4      5      1      4      7      8      
Kazys               Paulauskas          5      2      2      8      7      10     8      4      1      6      9      
Denisas             Petrauskas          10     8      2      7      2      7      7      10     4      8      8      
Davidas             Urbonas             6      10     7      10     8      4      3      8      4      1      9      
Voicechas           Petrauskas          1      7      8      9      7      4      9      9      6      3      5      
Agatas              Jankauskas          1      2      2      9      3      9      5      8      5      5      3      
Valdas              Pocius              7      4      6      1      9      7      10     9      1      1      7      
Nikiforas           Stankevicius        1      1      2      3      5      1      5      7      2      3      9      
Neringas            Kazlaukas           1      5      7      6      9      2      5      4      6      8      6      
Serapinas           Baranauskas         5      5      6      10     4      7      4      5      2      6      5      
Kasparas            Jankauskas          2      6      4      3      5      3      3      1      10     8      8      
Stepas              Kavaliauskas        1      5      6      7      4      4      6      6      1      8      10     
Alpas               Sakalauskas         3      8      9      1      8      7      2      9      4      10     2      
Gedvydas            Sakalauskas         3      9      10     8      4      6      8      8      3      10     10     
Jotautas            Vasiliauskas        6      10     7      10     8      8      3      2      5      1      4      
Ruslanas            Kazlaukas           2      4      1      4      5      4      8      7      5      7      3      
Kornelijus          Jankauskas          8      1      4      8      7      4      8      7      6      8      3      
Rimantas            Butkus              4      9      3      9      3      2      5      10     8      7      2      
Gedgaudas           Vasiliauskas        6      8      4      5      4      5      3      9      10     2      5      
Osvaldas            Baranauskas         9      10     5      8      4      3      8      9      4      6      10     
Karlas              Vasiliauskas        8      2      1      8      3      6      2      5      10     4      1      
Nikiforas           zukauskas           10     4      7      6      5      8      10     2      1      8      5      
Sigizmundas         Pocius              4      3      5      7      4      10     7      9      9      7      7      
Laurynas            Kavaliauskas        6      8      7      3      10     4      3      1      3      3      7      
Genadijus           Vasiliauskas        6      9      3      3      1      8      2      9      3      3      3      
Zacharijus          Kavaliauskas        8      10     6      1      2      4      9      9      10     5      7      
Vainoras            Jankauskas          9      2      9      5      7      9      9      4      10     9      6      
Kipras              Kateiva             9      4      5      4      6      3      2      5      7      1      7      
Timotiejus          Baranauskas         3      5      6      9      8      1      1      10     10     8      5      
Vilijus             Paulauskas          4      4      7      10     2      6      2      9      9      10     3      
Vakaris             Stankevicius        1      4      3      6      1      2      7      6      6      7      3      
Bartas              Petrauskas          1      3      7      5      10     8      7      1      2      8      7      
Raigardas           Paulauskas          2      7      2      10     10     5      7      9      10     3      4      
Adolis              Sakalauskas         6      10     6      8      6      3      9      4      6      9      3      
Sava                Sakalauskas         6      6      9      8      6      10     3      3      4      5      5      
Alfredas            Sakalauskas         7      9      5      1      3      9      9      7      10     1      7      
