Vardas              Pavarde             Vid.                Med.                
Herkus              Butkus              2.48                5                   
Horstas             Kazlaukas           3.84                7.5                 
Imantas             Sakalauskas         4.76                6                   
Indrius             Pocius              3.12                6.5                 
Inocentas           Kavaliauskas        4.2                 4                   
Inocentas           Paulauskas          2.64                5                   
Irtautas            Kavaliauskas        3.92                5.5                 
Izidorius           Urbonas             2.12                3                   
Jacekas             zukauskas           3.44                7.5                 
Janas               Urbonas             3.96                5.5                 
Jaroslavas          Jankauskas          4.76                6                   
Jaroslavas          Kazlaukas           3.52                4.5                 
Jaunutis            Kateiva             3.84                5                   
Jegoras             Kateiva             2.72                4.5                 
Jevgenijus          Butkus              4.36                4                   
Jezis               Paulauskas          4.04                8                   
Joanas              Urbonas             3.28                5                   
Joanas              Pocius              4.92                7.5                 
Jogirdas            zukauskas           2.44                4.5                 
Jokimas             Kavaliauskas        3.88                5.5                 
Jokimas             Kateiva             4.64                6                   
Jokimas             Petrauskas          4                   5.5                 
Jolantas            Vasiliauskas        2.76                6.5                 
Jomantas            Petrauskas          4.28                4                   
Jonas               Butkus              4.56                5.5                 
Jotautas            Vasiliauskas        4.8                 6.5                 
Jovaras             Stankevicius        2.6                 5                   
Julijonas           zukauskas           4.52                5.5                 
Julijus             Kateiva             2.96                6.5                 
Juozapas            Baranauskas         2.88                4.5                 
Juozapatas          Kateiva             3.08                4.5                 
Juozapatas          Butkus              2.32                4.5                 
Juras               Sakalauskas         4.88                4                   
Kamilis             Jankauskas          3.4                 5.5                 
Kaributas           Petrauskas          2.92                6.5                 
Karlas              Vasiliauskas        2.56                4.5                 
Karlas              Kazlaukas           3.44                7                   
Karpas              Kavaliauskas        4.76                5                   
Kastantas           Kavaliauskas        3.2                 5                   
Kazimieras          Vasiliauskas        3.56                6                   
Kazys               Stankevicius        3.12                4                   
Kimas               Butkus              4                   5.5                 
Kiprijonas          Petrauskas          4.84                6.5                 
Kirilas             Kavaliauskas        3.44                8                   
Klemensas           Paulauskas          3.36                6                   
Klementas           Vasiliauskas        4.12                3                   
Klementas           Urbonas             3.44                6                   
Kleopas             Kazlaukas           3.8                 8.5                 
Klevas              Paulauskas          4.8                 6.5                 
Klevas              Sakalauskas         2.84                6                   
Klimas              Stankevicius        4.16                6.5                 
Konstantinas        Kazlaukas           4.56                7.5                 
Kornelijus          Jankauskas          4.24                7                   
Kornelijus          Kazlaukas           3.36                5                   
Kozmas              Stankevicius        3.64                4.5                 
Kristijonas         Stankevicius        3.16                6.5                 
Kristoforas         Kateiva             3.8                 4.5                 
Ksistofas           Butkus              4.2                 5                   
Ksistofas           Baranauskas         4.96                5                   
Laimutis            Petrauskas          3                   3.5                 
Laisvis             zukauskas           4.68                6                   
Laisvis             Kavaliauskas        4.8                 7                   
Lauras              Kavaliauskas        2.4                 4.5                 
Lauras              Stankevicius        3.16                4                   
Lauris              Stankevicius        3.88                5                   
Leandras            Jankauskas          2.88                5.5                 
Leandras            Sakalauskas         4.52                5.5                 
Libertas            Jankauskas          4                   5                   
Liubomiras          Vasiliauskas        3.28                5                   
Liucijonas          Urbonas             4.96                5                   
Liudvigas           Urbonas             2.48                5                   
Liudvigas           Urbonas             4.44                6.5                 
Liudvikas           zukauskas           4                   4.5                 
Livijus             Sakalauskas         2.68                5.5                 
Lozorius            Baranauskas         3.16                4.5                 
Lukrecijus          Kazlaukas           3.24                3.5                 
Maksas              Kazlaukas           4.28                3                   
Maksas              Kazlaukas           3.48                5                   
Maksimilijonas      Pocius              3.96                4                   
Maksimilijonas      zukauskas           3.2                 6.5                 
Mamertas            Stankevicius        3                   6                   
Mangirdas           Paulauskas          3.12                6                   
Mantvydas           Pocius              3.88                5                   
Mantvydas           Kavaliauskas        3.48                6.5                 
Marcelijus          zukauskas           3.08                4.5                 
Marcelinas          Vasiliauskas        4.6                 4                   
Marcelinas          Kavaliauskas        4.84                6                   
Marcelius           zukauskas           3.72                4.5                 
Margiris            Kavaliauskas        1.88                2                   
Marijus             Kazlaukas           4.64                5.5                 
Marijus             Pocius              4.88                6.5                 
Markas              Baranauskas         4.56                5.5                 
Martynas            Sakalauskas         4.84                5                   
Melchioras          Sakalauskas         3.52                6.5                 
Merkys              Sakalauskas         4.96                5                   
Merkys              Vasiliauskas        3.32                5.5                 
Miglius             Kateiva             4.28                5                   
Mikolajus           Baranauskas         2.6                 4.5                 
Mikolajus           Petrauskas          3.24                5                   
Mindaugas           Baranauskas         4.04                3.5                 
Naglis              Vasiliauskas        3.16                7.5                 
Nauris              Kazlaukas           4.64                2.5                 
Nauris              Butkus              3.76                5                   
Nazaras             Urbonas             2.92                5                   
Nazaras             Kazlaukas           3.4                 5                   
Neringas            Petrauskas          3.52                5.5                 
Nikiforas           zukauskas           4.44                6.5                 
Nikodemas           Butkus              4.28                8                   
Nikodemas           Kazlaukas           4.16                6                   
Nikola              Jankauskas          4.84                8.5                 
Nikola              Stankevicius        4.12                5                   
Nojus               Pocius              4.64                7                   
Nojus               Baranauskas         3.8                 4.5                 
Nomedas             Jankauskas          2.72                5.5                 
Normanas            Kavaliauskas        4.52                5.5                 
Normanas            Kateiva             4.4                 5.5                 
Oktavijus           Butkus              3.84                6.5                 
Oktavijus           Kazlaukas           3.56                5.5                 
Oktavijus           zukauskas           3.28                5.5                 
Oktavijus           zukauskas           3.56                7                   
Olegas              Paulauskas          3.44                5.5                 
Olegas              Paulauskas          4.24                4                   
Orestas             zukauskas           3.52                6                   
Orintas             Petrauskas          3.48                6                   
Orintas             Kateiva             4.32                4                   
Oskaras             Kateiva             2.48                3.5                 
Otilijus            Petrauskas          3.76                6.5                 
Otonas              Vasiliauskas        3.44                5.5                 
Otonas              zukauskas           3.16                4                   
Ovidijus            Kazlaukas           3.08                6.5                 
Palemonas           Paulauskas          4.4                 8                   
Patrikas            Kateiva             3.04                6.5                 
Paulis              Kazlaukas           4.6                 7.5                 
Paulis              Baranauskas         3.24                6                   
Pilypas             Petrauskas          3.08                5                   
Piotras             Paulauskas          3.24                5                   
Platonas            Butkus              3.48                3                   
Platonas            Paulauskas          4.72                5.5                 
Polis               Kavaliauskas        3.08                6                   
Polis               Butkus              4                   4                   
Pranas              Pocius              3.72                4.5                 
Rafailas            Jankauskas          3.08                5                   
Raimundas           Kateiva             4.08                6.5                 
Ralfas              Paulauskas          3.2                 6                   
Rapolas             Petrauskas          3.52                6                   
Raulis              Urbonas             3.44                2.5                 
Regimantas          Baranauskas         3.96                6                   
Reginaldas          Jankauskas          4.6                 5.5                 
Reinhardas          zukauskas           2.92                5.5                 
Remigijus           Urbonas             4.6                 6                   
Remigijus           Urbonas             3.24                7                   
Ricardas            Vasiliauskas        3.36                7.5                 
Richardas           Sakalauskas         2.92                4                   
Rimantas            Butkus              3.6                 6                   
Rimtautas           Paulauskas          3.32                7                   
Robertas            Kateiva             3.2                 7                   
Robinas             Petrauskas          4                   3.5                 
Rodrigas            Kazlaukas           3.04                4.5                 
Rodrigas            Kazlaukas           2.4                 4                   
Rolandas            Vasiliauskas        4.6                 5.5                 
Rolfas              Petrauskas          4.8                 6.5                 
Romas               Vasiliauskas        3.6                 6                   
Rubenas             Baranauskas         2.84                6.5                 
Rubenas             Pocius              2.96                5.5                 
Rubenas             Paulauskas          4.64                5.5                 
Rufas               Urbonas             4.2                 5.5                 
Rupertas            Paulauskas          4.84                4.5                 
Ruslanas            zukauskas           4.64                7                   
Ruslanas            Sakalauskas         3.96                5.5                 
Ruslanas            Kazlaukas           3.68                4.5                 
Ruslanas            Jankauskas          4.36                6.5                 
Rutenis             Vasiliauskas        4.6                 3                   
Rysardas            Kavaliauskas        4.8                 6.5                 
Rytas               Sakalauskas         4.92                7                   
Rytas               Paulauskas          4.32                6                   
Rytautas            Urbonas             3.08                5                   
Rytis               zukauskas           4.68                5.5                 
Sakalas             Butkus              4.92                6.5                 
Salvijus            Petrauskas          3.8                 7                   
Salvijus            Jankauskas          4.76                7                   
Samuelis            Paulauskas          3.48                6.5                 
Samuelis            Baranauskas         4.96                5                   
Santaras            Paulauskas          3.64                6.5                 
Semionas            Petrauskas          2.76                4.5                 
Semionas            Kazlaukas           3.56                4                   
Serafinas           Sakalauskas         3.68                7                   
Sidas               zukauskas           3.6                 4.5                 
Sigitas             Jankauskas          2.68                4                   
Sigitas             Kateiva             3                   7                   
Sigizmundas         Baranauskas         4.2                 5                   
Silvestras          Kateiva             3.44                4                   
Silvijus            Stankevicius        2.84                5                   
Skalmantas          zukauskas           2.84                6                   
Stasius             Kazlaukas           4.4                 6                   
Stasius             Urbonas             3.8                 7                   
Stefanas            Jankauskas          3.04                4.5                 
Steponas            Baranauskas         3.28                5.5                 
Steponas            Vasiliauskas        4.48                4.5                 
Steponas            Butkus              3.88                7                   
Svajunas            Stankevicius        3.44                6.5                 
Sviatoslavas        Kazlaukas           3.28                6.5                 
Tauras              zukauskas           2.8                 4.5                 
Teisutis            Pocius              3                   6                   
Terentijus          zukauskas           3.48                4.5                 
Tiberijus           Urbonas             3                   3.5                 
Tiberijus           zukauskas           1.96                3                   
Ubaldas             Kazlaukas           2.8                 2                   
Ugnius              Stankevicius        3.64                3.5                 
Urbonas             Kazlaukas           4.4                 2.5                 
Utenis              Vasiliauskas        4.84                4                   
Vaclovas            Petrauskas          4.04                5.5                 
Vacys               Kazlaukas           4.84                6.5                 
Vaidotas            Petrauskas          3.72                4                   
Vaidutis            Sakalauskas         2.32                4                   
Vaidutis            Kavaliauskas        3.8                 5                   
Vaigaudas           Stankevicius        2.52                4.5                 
Vaigaudas           Pocius              4.64                7.5                 
Vainius             Jankauskas          3.4                 5.5                 
Vainoras            Kavaliauskas        4.24                4.5                 
Vainoras            Petrauskas          4.76                6.5                 
Vaizgantas          Pocius              4.68                3                   
Vakaris             Stankevicius        3.52                5                   
Valdemaras          Kazlaukas           2.96                6                   
Valdis              Paulauskas          3.76                4.5                 
Valdis              Vasiliauskas        4.72                7.5                 
Valentas            Petrauskas          3.2                 6.5                 
Valentinas          Stankevicius        3.36                8.5                 
Valentinas          Kavaliauskas        4.84                5                   
Valerijus           Baranauskas         4.28                4.5                 
Valius              Paulauskas          3.84                7                   
Vejunas             Butkus              3.36                7                   
Venantas            Urbonas             4.72                8                   
Vergilijus          Vasiliauskas        3.52                8.5                 
Vestas              Kazlaukas           2.36                4                   
Vigilijus           Vasiliauskas        4.12                4.5                 
Viktorijus          Butkus              2.88                4                   
Vilgaudas           Petrauskas          4.68                4.5                 
Vilhelmas           Jankauskas          4.24                6                   
Vilijus             Paulauskas          4.32                6.5                 
Vilmantas           Paulauskas          4.44                6                   
Vilnius             Sakalauskas         3.88                7                   
Viltaras            zukauskas           4.36                5                   
Viltenis            Baranauskas         2.92                5.5                 
Vincentas           Vasiliauskas        3.32                4.5                 
Vingaudas           Kateiva             2.68                4.5                 
Virginijus          Butkus              4                   8                   
Virmantas           Vasiliauskas        3.36                3                   
Vismantas           Baranauskas         4.04                3                   
Vismantas           Paulauskas          3.92                7.5                 
Vitalis             Sakalauskas         3.92                6                   
Vitalis             Baranauskas         4.44                7.5                 
Vitalius            Baranauskas         4.24                6.5                 
Vitas               Kazlaukas           3.96                5                   
Vitas               Paulauskas          3.12                6.5                 
Vladislavas         Pocius              4.84                5                   
Vladislavas         zukauskas           4.4                 5                   
Voicechas           Pocius              2.48                5                   
Vygandas            Paulauskas          3.16                4                   
Vykintas            Stankevicius        3.88                5                   
Vykintas            Vasiliauskas        3.48                4.5                 
Vylius              Vasiliauskas        4.68                3.5                 
Vytenis             Urbonas             3.68                4                   
Vytenis             Petrauskas          4.4                 4.5                 
Vyturys             Butkus              4.96                5.5                 
Vyturys             Stankevicius        2.48                4                   
Zbignevas           Baranauskas         4.44                5                   
Zigfridas           zukauskas           3.12                8                   
Zinovijus           Sakalauskas         4.6                 5.5                 
Zygmuntas           Urbonas             3.72                3                   
azuolas             Kavaliauskas        2.6                 6                   
azuolas             Vasiliauskas        2.36                4                   
ciogintas           Sakalauskas         4.56                5                   
svitrigaila         Kavaliauskas        3.44                6.5                 
zibartas            Paulauskas          2.64                5.5                 
zvaigzdzius         Kavaliauskas        2.84                5                   
zvaigzdzius         Petrauskas          3.96                7.5                 
zydrius             zukauskas           3.64                4                   
zydrunas            Petrauskas          4.12                7.5                 
zygimantas          Urbonas             4.32                4.5                 
